"Title";"Author Keywords";"Abstract";"doi link";"Authors";"Author Full Names";"Publication Year";"Source Title";"reactor";"substrate origin";"substrate type";"substrate pretreatment";"substrate category";"size";"article type";"substrate";"Substrate category(L,FW,S,O)";"solid?";"info";"reactor type";"reactor subtype";"reactor detail";"reactor subdetail"
"Effect of macro- and micro-nutrients addition during anaerobic mono-digestion of grass silage in leach-bed REACTORs";"Leach bed REACTOR; micro-nutrients; anaerobic digestion; grass silage; methane";"The effect of macro- (NH4Cl) (set I) and micro-nutrients (Fe, Ni, Co and Mo) (set II) addition on chemical oxygen demand (COD) solubilisation during anaerobic mono-digestion of grass silage was investigated in two sets of leach bed REACTOR experiments at 35 degrees C. Results showed that addition of NH4Cl and micro-nutrients improved COD solubilisation by 18% (0.56g SCOD g(-1) volatile solids) and 7% (0.45 g SCOD g(-1) VS), respectively than control. About 20-50% of the added micro-nutrients were bioavailable in the produced leachates, while the rest (50-80%) were adsorbed onto the grass silage. Results of biological methane potential assays showed that, specific methane yields of grass silage were improved by 17% (0.36 +/- 0.02 m(3) CH4 kg(-1) VSadded) when NH4Cl was supplemented while Fe, Ni, Co and Mo addition improved methane yields by 15% (0.33 +/- 0.005 m(3) CH4 kg(-1) VSadded) when compared to control.";"http://dx.doi.org/10.1080/09593330.2017.1393462";"Jagadabhi, PS; Kaparaju, P; Vaisanen, A; Rintala, J";"Jagadabhi, Padma Shanthi; Kaparaju, Prasad; Vaisanen, Ari; Rintala, Jukka";2019;"ENVIRONMENTAL TECHNOLOGY";"leach bed";"grass";"silage";;"lignocellulose";"lab";;"grass sillage";"l";;;"leach bed";;;
"Preliminary analysis of Chloroflexi populations in full-scale UASB methanogenic REACTORs";"anaerobic digestion; Chloroflexi; full scale; methanogenic REACTOR; microbial community; UASB";"Aims The phylum Chloroflexi is frequently found in high abundance in methanogenic REACTORs, but their role is still unclear as most of them remain uncultured and understudied. Hence, a detailed analysis was performed in samples from five up-flow anaerobic sludge blanket (UASB) full-scale REACTORs fed different industrial wastewaters. Methods and Results Quantitative PCR show that the phylum Chloroflexi was abundant in all UASB methanogenic REACTORs, with higher abundance in the REACTORs operated for a long period of time, which presented granular biomass. Both terminal restriction fragment length polymorphism and 16S rRNA gene amplicon sequencing revealed diverse Chloroflexi populations apparently determined by the different inocula. According to the phylogenetic analysis, the sequences from the dominant Chloroflexi were positioned in branches where no sequences of the cultured representative strains were placed. Fluorescent in situ hybridization analysis performed in two of the REACTORs showed filamentous morphology of the hybridizing cells. Conclusions While members of the Anaerolineae class within phylum Chloroflexi were predominant, their diversity is still poorly described in anaerobic REACTORs. Due to their filamentous morphology, Chloroflexi may have a key role in the granulation in methanogenic UASB REACTORs. Significance and Impact of the Study Our results bring new insights about the diversity, stability, dynamics and abundance of this phylum in full-scale UASB REACTORs which aid in understanding their function within the REACTOR biomass. However, new methodological approaches and analysis of bulking biomass are needed to completely unravel their role in these REACTORs. Combining all this knowledge with REACTOR operational parameters will allow to understand their participation in granulation and bulking episodes and design strategies to prevent Chloroflexi overgrowth.";"http://dx.doi.org/10.1111/jam.14115";"Bovio, P; Cabezas, A; Etchebehere, C";"Bovio, P.; Cabezas, A.; Etchebehere, C.";2019;"JOURNAL OF APPLIED MICROBIOLOGY";"high rate(UASB)";"industrial wastewater";;;"industrial wastewater";"full";;;;;;"high rate";"UASB";;
"Effect of enhanced biomass retention by sequencing batch operation on biomethanation of sulfur-rich macroalgal biomass: Process performance and microbial ecology";"Anaerobic digestion; Macroalgae; Methanogens; Sequencing batch REACTOR; Sulfate reduction; Ulva";"This study investigated the anaerobic digestion of Ulva biomass as an approach to diversifying energy sources and managing seaweed waste in a cost-effective manner. Ulva species are often identified as the main culprit of serious macroalgal blooms around the world, and their sulfur-rich nature causes difficulties in handling the biomass. Two REACTORs in continuous (Rc) and sequencing batch (Rs) modes were operated with decreasing hydraulic retention time in a stepwise manner from 20 to 6 days. Rs allowed significantly higher methane productivity (0.19-0.22 L/g chemical oxygen demand [COD] fed) and biomass retention capacity than Rc (0-0.16 L/g COD fed) throughout the experiment. Interestingly, sulfide production was also higher in Rs than in Rc. These findings, together with microbial quantification results, suggested that Rs operation enhanced biomass retention and the activity of both methanogens and sulfate-reducing bacteria. The Rc microbial community was less diverse and more variable than the Rs community. Accordingly, the performance of Rc was more significantly affected by changes in hydraulic and thus organic loads. Aceticlastic Methanosaetaceae dominated the methanogen community in both REACTORs, with the abundance of methanogens being significantly higher in Rs than in Rc. This may explain the more efficient and stable methane production despite the greater sulfidogenic activity in Rs, particularly at high hydraulic loads. Together, the results suggest that sequencing batch operation is advantageous over conventional continuous flow operation for the biomethanation of Ulva biomass and potentially other sulfur-rich feedstocks.";"http://dx.doi.org/10.1016/j.algal.2017.10.018";"Jung, H; Kim, J; Lee, C";"Jung, Heejung; Kim, Jaai; Lee, Changsoo";2017;"ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS";"batch(sequencing batch reactor)";"ulva";;;"algae";"lab";;"ulva";"l";;;"batch";"sequencing batch reactor";;
"Effect of enhanced biomass retention by sequencing batch operation on biomethanation of sulfur-rich macroalgal biomass: Process performance and microbial ecology";"Anaerobic digestion; Macroalgae; Methanogens; Sequencing batch REACTOR; Sulfate reduction; Ulva";"This study investigated the anaerobic digestion of Ulva biomass as an approach to diversifying energy sources and managing seaweed waste in a cost-effective manner. Ulva species are often identified as the main culprit of serious macroalgal blooms around the world, and their sulfur-rich nature causes difficulties in handling the biomass. Two REACTORs in continuous (Rc) and sequencing batch (Rs) modes were operated with decreasing hydraulic retention time in a stepwise manner from 20 to 6 days. Rs allowed significantly higher methane productivity (0.19-0.22 L/g chemical oxygen demand [COD] fed) and biomass retention capacity than Rc (0-0.16 L/g COD fed) throughout the experiment. Interestingly, sulfide production was also higher in Rs than in Rc. These findings, together with microbial quantification results, suggested that Rs operation enhanced biomass retention and the activity of both methanogens and sulfate-reducing bacteria. The Rc microbial community was less diverse and more variable than the Rs community. Accordingly, the performance of Rc was more significantly affected by changes in hydraulic and thus organic loads. Aceticlastic Methanosaetaceae dominated the methanogen community in both REACTORs, with the abundance of methanogens being significantly higher in Rs than in Rc. This may explain the more efficient and stable methane production despite the greater sulfidogenic activity in Rs, particularly at high hydraulic loads. Together, the results suggest that sequencing batch operation is advantageous over conventional continuous flow operation for the biomethanation of Ulva biomass and potentially other sulfur-rich feedstocks.";"http://dx.doi.org/10.1016/j.algal.2017.10.018";"Jung, H; Kim, J; Lee, C";"Jung, Heejung; Kim, Jaai; Lee, Changsoo";2017;"ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS";"cstr";"ulva";;;"algae";"lab";;"ulva";"l";;;"cstr";;;
"Performance and microbial community analysis of two-stage process with extreme thermophilic hydrogen and thermophilic methane production from hydrolysate in UASB REACTORs";"Hemicelluloses; Two-stage anaerobic digestion; Hydrogen and methane; UASB REACTOR";"The two-stage process for extreme thermophilic hydrogen and thermophilic methane production from wheat straw hydrolysate was investigated in up-flow anaerobic sludge bed (UASB) REACTORs. Specific hydrogen and methane yields of 89 ml-H-2/g-VS (190 ml-H-2/g-sugars) and 307 ml-CH4/g-VS, respectively were achieved simultaneously with the overall VS removal efficiency of 81% by operating with total hydraulic retention time (HRT) of 4 days. The energy conversion efficiency was dramatically increased from only 7.5% in the hydrogen stage to 87.5% of the potential energy from hydrolysate, corresponding to total energy of 13.4 kJ/g-VS. Dominant hydrogen-producing bacteria in the H-2-UASB REACTOR were Thermoanaerobacter wiegelii, Caldanaerobacter subteraneus, and Caloramator fervidus. Meanwhile, the CH4-UASB REACTOR was dominated with methanogens of Methanosarcina mazei and Methanothermobacter defluvii. The results from this study suggest the two stage anaerobic process can be effectively used for energy recovery and for stabilization of hydrolysate at anaerobic conditions. (C) 2010 Elsevier Ltd. All rights reserved.";"http://dx.doi.org/10.1016/j.biortech.2010.12.009";"Kongjan, P; O-Thong, S; Angelidaki, I";"Kongjan, Prawit; O-Thong, Sompong; Angelidaki, Irini";2011;"BIORESOURCE TECHNOLOGY";"two stage(uasb)";"wheat";"straw";;"lignocellulose";"lab";;"wheat straw hydrolysate";"l";;;"two stage";"UASB";;
"Struvite precipitation potential for nutrient recovery from anaerobically treated wastes";"anaerobic digestion; anaerobic sequencing batch REACTOR; MINTEQA2; speciation modeling; struvite";"Geochemical equilibrium speciation modeling was used to determine optimum conditions for precipitation of magnesium ammonium phosphate, or struvite, for the recovery of nutrients from an aerobically digested wastes. Despite a wide range of pH values with the potential to precipitate struvite, the optimum pH was determined to be 9.0. Bench experiments conducted on effluent from an anaerobic sequencing batch REACTOR (ASBR) treating swine wastes achieved a maximum of 88% ammonia removal at a pH of 9.5 with added magnesium and phosphate to achieve an ammonium magnesium: phosphate molar ratio of 1:1.25:1. Struvite precipitation was performed on a continuous basis in a pilot-scale ASBR treating swine wastes. Through the addition of supplemental magnesium and phosphate, the ammonia concentration was reduced from 1500 mg/L as nitrogen to less than 10 mg/L. The supernatant from the struvite precipitation clarifier was recycled to the feed of the ASBR without adverse impact, simulating on-farm effluent reuse as flush water.";"http://dx.doi.org/10.2166/wst.2001.0690";"Miles, A; Ellis, TG";"Miles, A; Ellis, TG";2001;"WATER SCIENCE AND TECHNOLOGY";"batch(sequencing batch reactor)";"pig";;;"manure";"lab";;"swine waste";"fw";;;"batch";"sequencing batch reactor";;
"Influence of recirculation flow in a pilot scale downflow stationary fixed film anaerobic REACTOR treating piggery slurry";"anaerobic digestion; pig slurry; fixed film/biofilm; DSFF REACTOR/digester";"Some aspects of the operational studies of a pilot scale downflow stationary fix film REACTOR (DSFF), treating sieved piggery slurries (1 mm mesh), are presented. Conditions affecting anaerobic digestion of the slurries were examined. The effect of the variation in the recirculation factor, which was defined as the relation between the recirculation and the feeding flows (Q(r)/Q(o)), was analyzed in this phase. The organic loading rate to the REACTOR and the temperature were kept almost uniform along the process. The experiments were conducted in the mesophilic range (around 35 degrees C). Hydraulic retention time was between 2.1 and 1.6 days and the system did not go sour. The recirculation factor was varied from four up to 20, with limitations for the higher rates due to the equipment. Average organic concentration in the influents were 24 x 10(3) ppm Total chemical oxygen demand (COD) and 13 x 10(3) ppm volatile solids (VS). A medium load reduction was achieved, about 62% COD and 56% VS, with factors greater than 15 r, descending to 48 and 42%, respectively, when shortening the factors to under six. Biogas productivity increased from 2.8 to 3.3 m(3) m(-3) d(-1) when the factor was enlarged from four to 18. The gas composition displayed a certain uniformity in methane, between 80 and 70%, while carbon dioxide showed no significant changes for those factors. Nitrogen varied in a complementary way regarding the aforementioned gases, whereas only traces of hydrogen and sulphur were found. (C) 2000 Elsevier Science Ltd. All rights reserved.";"http://dx.doi.org/10.1016/S0961-9534(00)00007-6";"Lomas, JM; Urbano, C; Camarero, LM";"Lomas, JM; Urbano, C; Camarero, LM";2000;"BIOMASS & BIOENERGY";"high rate(fixed film(downflow stationary))";"pig";"slurry";;"manure";"pilot";;"piggery slurry";"l";;;"high rate";"fixed film";"downflow stationary";
"Lignocellulose-derived thin stillage composition and efficient biological treatment with a high-rate hybrid anaerobic bioREACTOR system";"Thin stillage; Lignocellulose; Methane; Anaerobic digestion; Mesophilic; Thermophilic; Hybrid REACTOR";"Background: This study aims to chemically characterize thin stillage derived from lignocellulosic biomass distillation residues in terms of organic strength, nutrient, and mineral content. The feasibility of performing anaerobic digestion on these stillages at mesophilic (40 degrees C) and thermophilic (55 degrees C ) temperatures to produce methane was demonstrated. The microbial communities involved were further characterized. Results: Energy and sugar cane stillage have a high chemical oxygen demand (COD of 43 and 30 g/L, respectively) and low pH (pH 4.3). Furthermore, the acetate concentration in sugar cane stillage was high (45 mM) but was not detected in energy cane stillage. There was also a high amount of lactate in both types of stillage (35-37 mM). The amount of sugars was 200 times higher in energy cane stillage compared to sugar cane stillage. Although there was a high concentration of sulfate (18 and 23 mM in sugar and energy cane stillage, respectively), both thin stillages were efficiently digested anaerobically with high COD removal under mesophilic and thermophilic temperature conditions and with an organic loading rate of 15-21 g COD/L/d. The methane production rate was 0.2 L/g COD, with a methane percentage of 60 and 64, and 92 and 94 % soluble COD removed, respectively, by the mesophilic and thermophilic REACTORs. Although both treatment processes were equally efficient, there were different microbial communities involved possibly arising from the differences in the composition of energy cane and sugar cane stillage. There was more acetic acid in sugar cane stillage which may have promoted the occurrence of aceticlastic methanogens to perform a direct conversion of acetate to methane in REACTORs treating sugar cane stillage. Conclusions: Results showed that thin stillage contains easily degradable compounds suitable for anaerobic digestion and that hybrid REACTORs can efficiently convert thin stillage to methane under mesophilic and thermophilic conditions. Furthermore, we found that optimal conditions for biological treatment of thin stillage were similar for both mesophilic and thermophilic REACTORs. Bar-coded pyrosequencing of the 16S rRNA gene identified different microbial communities in mesophilic and thermophilic REACTORs and these differences in the microbial communities could be linked to the composition of the thin stillage.";"http://dx.doi.org/10.1186/s13068-016-0532-z";"Oosterkamp, MJ; Mendez-Garcia, C; Kim, CH; Bauer, S; Ibanez, AB; Zimmerman, S; Hong, PY; Cann, IK; Mackie, RI";"Oosterkamp, Margreet J.; Mendez-Garcia, Celia; Kim, Chang-H.; Bauer, Stefan; Ibanez, Ana B.; Zimmerman, Sabrina; Hong, Pei-Ying; Cann, Isaac K.; Mackie, Roderick I.";2016;"BIOTECHNOLOGY FOR BIOFUELS";"high rate(hybrid(uasb + packed bed))";"sugarcane";"thin stillage";;"food industry organic waste";"lab";;"thin stillage";"l";;;"high rate";"hybrid";"uasb + packed bed";
"Effect of bioaugmentation of activated sludge with white-rot fungi on olive mill wastewater detoxification";"air lift REACTOR; anaerobic digestion; chemical oxygen demand; polyphenols; toxicity";"Aims: To test the potential use of Phanerochaete chrysosporium and other white-rot fungi to detoxify olive mill wastewaters (OMW) in the presence of a complex activated sludge. To combine the aerobic with anaerobic treatment to optimize the conversion of OMW in biogas. Methods and Results: A 25-l air lift REACTOR was used to pretreat OMW by white-rot fungi. Detoxification of the OMW was monitored by size exclusion HPLC analysis, chemical oxygen demand (COD)/biological oxygen demand (BOD5) ratio evolution, and bioluminescence toxicity test. Anaerobic treatment of OMW was performed in a 12-l anaerobic filter REACTOR. Efficiency of the treatment was evaluated by organic matter removal, and biogas production. By comparison with the pretreatment by activated sludge only, the bioaugmentation with Phanerochaete chrysosporium or Trametes versicolor led to high removal of organic matter, decreased the COD/BOD5 ratio and the toxicity. The subsequent anaerobic digestion of the OMW pretreated with activated sludge-white-rot fungi showed higher biomethanization yields than that pretreated with activated sludge only. Higher loading rates (7 g COD l(-1) day(-1)) were reached without any acidification or inhibition of biomethanization. Conclusions: The use of white-rot fungi, even in the presence of complex biological consortia to detoxify OMW, proved to be possible and made the anaerobic digestion of OMW for methane production feasible. Significance and Impact of the Study: The use of fungi for OMW reuse and energy production could be adapted to industrial applications.";"http://dx.doi.org/10.1111/j.1472-765X.2006.01858.x";"Dhouib, A; Ellouz, M; Aloui, F; Sayadi, S";"Dhouib, A; Ellouz, M; Aloui, F; Sayadi, S";2006;"LETTERS IN APPLIED MICROBIOLOGY";"high rate(anaerobic filter)";"olive mill wastewater";;;"industrial wastewater";"lab";;"olive mill wastewater";"s";;;"high rate";"anaerobic filter";;
"Biological treatment of swine waste using anaerobic baffled REACTORs";"anaerobic digestion; anaerobic baffled REACTOR; swine manure; retention time; COD";"Four laboratory-scale anaerobic baffled REACTORs (with two, three, foul; and five chambers, respectively) were used to successfully treat whole swine waste. The baffled REACTORs did an excellent job of trapping the small diameter methane-containing particles of proteins, cellulose, hemicellulose, and lipids. Solids retention times of 25, 30, 36, and 42 days were achieved with a corresponding hydraulic retention time of 14 days for two-, three-, four- and five-chamber anaerobic baffled REACTORs, respectively COD reductions ranged from 70 to 78% among all the REACTORs studied. Maximum methane production was observed in the REACTORs with four and five chambers with a value of 0.59 and 0.62 l/g of volatile solids added at a loading of 4 g VS/l/day, respectively. (C) 1998 Elsevier Science Ltd. All rights reserved.";"http://dx.doi.org/10.1016/S0960-8524(97)00178-8";"Boopathy, R";"Boopathy, R";1998;"BIORESOURCE TECHNOLOGY";"high rate(baffled REACTOR)";"pig";;;"manure";"lab";;"swine waste";"l";;;"high rate";"baffled REACTOR";;
"ANAEROBIC TREATMENT OF THE CENTRIFUGED SOLID FRACTION OF PIGGERY WASTE-WATER IN AN INCLINED PLUG-FLOW REACTOR";"PIGGERY WASTE-WATER TREATMENT; ANAEROBIC DIGESTION; PLUG-FLOW REACTOR; GRANULATION";"This paper reports the experimental results of a 6 months run on a bench scale inclined tubular anaerobic REACTOR treating centrifuged piggery sludge at 12-18% TS. The particular REACTOR design was demonstrated to be appropriate for handling this very dense feed material. REACTOR performances were very satisfactory: with increasing loading rates up to 10 g COD.1(-1).d-1 (corresponding to 12 d HRT the organic matter degradation was always constant around 60%. Methane yield was calculated around 321 CH4/l raw feed. The effluent was well dewaterable and showed low phosphorus levels in the liquid phase. A curious phenomenon of granulation is also discussed.";"http://dx.doi.org/10.2166/wst.1993.0086";"GORECKI, J; BORTONE, G; TILCHE, A";"GORECKI, J; BORTONE, G; TILCHE, A";1993;"WATER SCIENCE AND TECHNOLOGY";"plug flow(inclined)";"pig";"slurry";;"manure";"lab";;"piggery sludge";"l";;;"plug flow";"inclined";;
"Comparison of three biomass-retaining REACTORs of the ASBR, the UBF and the USR treating swine wastewater for biogas production";"Anaerobic digestion; Swine wastewater; REACTORs; Biomass retention; Depth; Microbial communities";"The comparative process performance and efficiency of REACTORs treating swine wastewater for biogas production at 35 degrees C were evaluated for three biomass-retaining REACTORs with different configurations and operational conditions: an anaerobic sequencing batch REACTOR (ASBR), an upflow anaerobic sludge bed-filter (UBF) and an upflow solid REACTOR (USR). The maximum volumetric methane production rates of the ASBR, UBF and USR were 1.679,1.669 and 1.234 LL(-1)d(-1), respectively, at the OLR of 8 g TS L-1 d(-1). Compared with the USR, the ASBR and UBF achieved better performance, which was attributed to more efficient biomass retention indicated by a higher solids residence time-to-hydraulic residence time ratio. The worst performance of the USR was caused by serious washout of sludge. The microorganism distribution profile along with depth showed that methanogenic genera of Methanosaeta and Methanospirillum accounted for 81.37-90.83% and 77.67-88.50% of all archaeal clones in the ASBR and UBF, respectively, and presented non-obvious spatial heterogeneity, while the abundances of methanogenic genera decreased from 93.61 to 4.64% with depth in the USR, instead of an increase in the populations of acid resistant bacteria. (C) 2019 Elsevier Ltd. All rights reserved.";"http://dx.doi.org/10.1016/j.renene.2019.01.124";"Yang, HN; Deng, LW; Wang, L; Zheng, D; Liu, Y; Wang, S; Huang, FY";"Yang, Hongnan; Deng, Liangwei; Wang, Lan; Zheng, Dan; Liu, Yi; Wang, Shuang; Huang, Fangyu";2019;"RENEWABLE ENERGY";"batch(sequencing batch reactor)";"pig";"wastewater";;"manure";"lab";;"swine wastewater";"s";;;"batch";"sequencing batch reactor";;
"Comparison of three biomass-retaining REACTORs of the ASBR, the UBF and the USR treating swine wastewater for biogas production";"Anaerobic digestion; Swine wastewater; REACTORs; Biomass retention; Depth; Microbial communities";"The comparative process performance and efficiency of REACTORs treating swine wastewater for biogas production at 35 degrees C were evaluated for three biomass-retaining REACTORs with different configurations and operational conditions: an anaerobic sequencing batch REACTOR (ASBR), an upflow anaerobic sludge bed-filter (UBF) and an upflow solid REACTOR (USR). The maximum volumetric methane production rates of the ASBR, UBF and USR were 1.679,1.669 and 1.234 LL(-1)d(-1), respectively, at the OLR of 8 g TS L-1 d(-1). Compared with the USR, the ASBR and UBF achieved better performance, which was attributed to more efficient biomass retention indicated by a higher solids residence time-to-hydraulic residence time ratio. The worst performance of the USR was caused by serious washout of sludge. The microorganism distribution profile along with depth showed that methanogenic genera of Methanosaeta and Methanospirillum accounted for 81.37-90.83% and 77.67-88.50% of all archaeal clones in the ASBR and UBF, respectively, and presented non-obvious spatial heterogeneity, while the abundances of methanogenic genera decreased from 93.61 to 4.64% with depth in the USR, instead of an increase in the populations of acid resistant bacteria. (C) 2019 Elsevier Ltd. All rights reserved.";"http://dx.doi.org/10.1016/j.renene.2019.01.124";"Yang, HN; Deng, LW; Wang, L; Zheng, D; Liu, Y; Wang, S; Huang, FY";"Yang, Hongnan; Deng, Liangwei; Wang, Lan; Zheng, Dan; Liu, Yi; Wang, Shuang; Huang, Fangyu";2019;"RENEWABLE ENERGY";"high rate(hybrid(uasb-filter))";"pig";"wastewater";;"manure";"lab";;"swine wastewater";"s";;;"high rate";"hybrid";"uasb-filter";
"Comparison of three biomass-retaining REACTORs of the ASBR, the UBF and the USR treating swine wastewater for biogas production";"Anaerobic digestion; Swine wastewater; REACTORs; Biomass retention; Depth; Microbial communities";"The comparative process performance and efficiency of REACTORs treating swine wastewater for biogas production at 35 degrees C were evaluated for three biomass-retaining REACTORs with different configurations and operational conditions: an anaerobic sequencing batch REACTOR (ASBR), an upflow anaerobic sludge bed-filter (UBF) and an upflow solid REACTOR (USR). The maximum volumetric methane production rates of the ASBR, UBF and USR were 1.679,1.669 and 1.234 LL(-1)d(-1), respectively, at the OLR of 8 g TS L-1 d(-1). Compared with the USR, the ASBR and UBF achieved better performance, which was attributed to more efficient biomass retention indicated by a higher solids residence time-to-hydraulic residence time ratio. The worst performance of the USR was caused by serious washout of sludge. The microorganism distribution profile along with depth showed that methanogenic genera of Methanosaeta and Methanospirillum accounted for 81.37-90.83% and 77.67-88.50% of all archaeal clones in the ASBR and UBF, respectively, and presented non-obvious spatial heterogeneity, while the abundances of methanogenic genera decreased from 93.61 to 4.64% with depth in the USR, instead of an increase in the populations of acid resistant bacteria. (C) 2019 Elsevier Ltd. All rights reserved.";"http://dx.doi.org/10.1016/j.renene.2019.01.124";"Yang, HN; Deng, LW; Wang, L; Zheng, D; Liu, Y; Wang, S; Huang, FY";"Yang, Hongnan; Deng, Liangwei; Wang, Lan; Zheng, Dan; Liu, Yi; Wang, Shuang; Huang, Fangyu";2019;"RENEWABLE ENERGY";"high rate(upflow solid reactor)";"pig";"wastewater";;"manure";"lab";;"swine wastewater";"s";;;"high rate";"upflow solid reactor";;
"The responses of mesophilic and thermophilic anaerobic digestion of municipal sludge to periodic fluctuation disturbance of organic loading rate";"Anaerobic digestion; Municipal sludge; REACTOR performance; Microbial community; Network analysis";"Fluctuation disturbance of organic loading rate (OLR) is common in actual anaerobic digestion (AD), but its effects on AD of municipal sludge gets little attention. This study investigated the responses of REACTOR performance and active microbial community in mesophilic and thermophilic AD of municipal sludge before, during and after OLR periodic fluctuation disturbance. The performance of both REACTORs were similar before and after disturbance although some parameter values changed during the disturbance, which indicated their enough buffer capacity to OLR periodic fluctuation. Different microbial community at RNA level was observed in the two REACTORs. When the OLR disturbance commenced, the microbial community changed greatly in thermophilic AD. Error and attack tolerance of the microbial network was analyzed in order to learn the response mechanisms to OLR disturbance. The results assisted that the thermophilic microbial community was more vulnerable, but the REACTOR performance of which could be maintained using the functional redundancy strategy under OLR fluctuation disturbance.";"http://dx.doi.org/10.1016/j.envres.2022.114783";"Wu, ZL; Zhang, Q; Xia, ZY; Gou, M; Sun, ZY; Tang, YQ";"Wu, Zong-Lin; Zhang, Quan; Xia, Zi-Yuan; Gou, Min; Sun, Zhao-Yong; Tang, Yue-Qin";2023;"ENVIRONMENTAL RESEARCH";"cstr";"dewatered sludge";;;"activated sludge";"lab";;"dewatered sludge";"s";;;"cstr";;;
"Sedimentological evolution in an UASB treating SYNTHES, a new representative synthetic sewage, at low loading rates";"UASB REACTOR; anaerobic digestion; synthetic sewage; sludge bed; sedimentological attributes";"The changes in the sedimentological attributes of the sludge bed in an upflow anaerobic sludge blanket (UASB) REACTOR fed with a low-strength wastewater mimicking raw domestic sewage were assessed in this study. The REACTOR was inoculated with 250 ml of granular sludge from a full-scale UASB REACTOR. The organic loading rate (OLR) varied from 1 to 2 g COD/l d. During the half-year long study, the REACTOR was operated at hydraulic retention times (HRTs) of 4.8 and 10 h, at 33 degreesC. Sludge sedimentology showed that the original granular sludge experienced serious instability and disintegration, leading to a much finer final grain assemblage, mainly due to substrate transfer limitation and cell starvation at the interior of larger granules. With time, the size uniformity tended to decrease, sphericity tended to increase, the skewness of the granule size distribution became negative, and the kurtosis became peaked and leptokurtic. In spite of the observed size reduction, REACTOR efficiency increased to a CODtotal removal of 96%. Biomass (sludge) yield was 0.012 g VS/g COD removed. The CH4 content of the biogas was high (up to 96%). This study thus highlights the treatment of a new type of wastewater with the deployment of the UASB REACTOR. It also reports the evolutionary trend of the biomass particle size distribution, making reference to a classic sedimentological appraisal. (C) 2003 Elsevier Ltd. All rights reserved.";"http://dx.doi.org/10.1016/j.biortech.2003.11.006";"Aiyuk, S; Verstraete, W";"Aiyuk, S; Verstraete, W";2004;"BIORESOURCE TECHNOLOGY";"high rate(UASB)";"domestic wastewater";;;"activated sludge";"lab";;"domestic sewage";"s";;;"high rate";"UASB";;
"A Framework Based on Finite Element Method (FEM) for Modelling and Assessing the Affection of the Local Thermal Weather Factors on the Performance of Anaerobic Lagoons for the Natural Treatment of Swine Wastewater";"modelling; anaerobic digestion; ADM1; free flow REACTORs; finite elements analysis";"Anaerobic lagoons are natural wastewater treatment systems suitable for swine farms in small communities due to its low operational and building costs, as well as for the environmental sustainability that these technologies enable. The local weather is one of the factors which greatly influences the efficiency of the organic matter degradation within anaerobic lagoons, since microbial growth is closely related to temperature. In this manuscript, we propose a mathematical model which involves the two-dimensional Stokes, advection-diffusion-reaction and heat transfer equations for an unstirred fluid flow. Furthermore, the Anaerobic Digestion Model No1 (ADM1), developed by the International Water Association (IWA), has been implemented in the model. The partial differential equations resulting from the model, which involve a large number of state variables that change according to the position and the time, are solved through the use of the Finite Element Method. The results of the simulations indicated that the methodology is capable of predicting reasonably well the steady-state of the concentrations for all processes that take place in the anaerobic digestion and for each one of the variables considered; cells, organic matter, nutrients, etc. In view of the results, it can be concluded that the model has significant potential for the design and the study of anaerobic cells' behaviour within free flow systems.";"http://dx.doi.org/10.3390/w13070882";"Brito-Espino, S; Ramos-Martin, A; Perez-Baez, SO; Mendieta-Pino, C; Leon-Zerpa, F";"Brito-Espino, Saulo; Ramos-Martin, Alejandro; Perez-Baez, Sebastian O.; Mendieta-Pino, Carlos; Leon-Zerpa, Federico";2021;"WATER";"anaerobic lagoon";"pig";"wastewater";;"manure";"model";;"swine wastewater";"s";;;"anaerobic lagoon";;;
